City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Chuy,UY,2022-06-06 17:37:29,-33.6971,-53.4616,59.05,72,100,7.74
1,Mataura,NZ,2022-06-06 17:37:30,-46.1927,168.8643,43.63,87,93,4.5
2,Lavrentiya,RU,2022-06-06 17:37:30,65.5833,-171.0,38.86,72,88,1.5
3,Repalle,IN,2022-06-06 17:37:31,16.0167,80.85,88.34,59,92,12.73
4,Geraldton,AU,2022-06-06 17:37:31,-28.7667,114.6,59.41,44,0,14.97
5,Upernavik,GL,2022-06-06 17:37:32,72.7868,-56.1549,31.46,70,9,9.84
6,Bubaque,GW,2022-06-06 17:37:32,11.2833,-15.8333,80.94,80,82,15.68
7,Olafsvik,IS,2022-06-06 17:37:32,64.8945,-23.7142,47.68,61,100,10.07
8,Hermanus,ZA,2022-06-06 17:37:33,-34.4187,19.2345,65.73,42,3,7.61
9,Tiksi,RU,2022-06-06 17:37:33,71.6872,128.8694,36.57,96,100,5.75
10,Rikitea,PF,2022-06-06 17:37:34,-23.1203,-134.9692,72.54,71,93,18.61
11,Albany,US,2022-06-06 17:33:13,42.6001,-73.9662,78.78,38,76,3.8
12,Cabedelo,BR,2022-06-06 17:37:35,-6.9811,-34.8339,81.27,79,28,15.08
13,Auki,SB,2022-06-06 17:37:35,-8.7676,160.7034,75.94,88,16,3.76
14,Presidencia Roque Saenz Pena,AR,2022-06-06 17:37:35,-26.7852,-60.4388,59.63,96,100,8.21
15,Yellowknife,CA,2022-06-06 17:33:13,62.456,-114.3525,68.56,37,75,5.75
16,Cape Town,ZA,2022-06-06 17:37:36,-33.9258,18.4232,69.39,38,0,3.44
17,Namibe,AO,2022-06-06 17:37:36,-15.1961,12.1522,83.03,61,0,13.8
18,Hilo,US,2022-06-06 17:37:37,19.7297,-155.09,86.29,77,0,8.05
19,Huarmey,PE,2022-06-06 17:37:37,-10.0681,-78.1522,69.31,75,39,8.79
20,Gat,IL,2022-06-06 17:37:38,31.61,34.7642,78.4,100,43,5.93
21,Cherskiy,RU,2022-06-06 17:37:38,68.75,161.3,35.67,63,7,10.67
22,Kavaratti,IN,2022-06-06 17:37:38,10.5669,72.642,83.7,76,100,18.21
23,Atuona,PF,2022-06-06 17:37:39,-9.8,-139.0333,78.26,73,17,14.63
24,La Rioja,ES,2022-06-06 17:37:40,42.25,-2.5,74.98,61,92,4.85
25,Jardim,BR,2022-06-06 17:37:40,-21.4803,-56.1381,90.1,29,96,9.69
26,Peniche,PT,2022-06-06 17:37:41,39.3558,-9.3811,73.29,85,64,10.67
27,Mar Del Plata,AR,2022-06-06 17:37:41,-38.0023,-57.5575,64.42,57,0,8.05
28,Chama,CH,2022-06-06 17:37:42,47.1821,8.4636,72.28,75,100,3.44
29,Lompoc,US,2022-06-06 17:33:06,34.6391,-120.4579,77.85,81,40,21.0
30,Cidreira,BR,2022-06-06 17:37:42,-30.1811,-50.2056,66.72,92,100,2.98
31,Haverfordwest,GB,2022-06-06 17:37:43,51.8017,-4.9691,62.19,80,36,5.12
32,Sayyan,YE,2022-06-06 17:37:43,15.1718,44.3244,67.32,32,25,1.52
33,Talnakh,RU,2022-06-06 17:37:44,69.4865,88.3972,36.21,60,97,3.87
34,Busselton,AU,2022-06-06 17:37:44,-33.65,115.3333,51.31,72,0,12.84
35,Havre-Saint-Pierre,CA,2022-06-06 17:37:45,50.2334,-63.5986,62.96,48,40,17.27
36,Calama,CL,2022-06-06 17:37:45,-22.4667,-68.9333,63.09,34,75,5.75
37,Nikolskoye,RU,2022-06-06 17:37:46,59.7035,30.7861,58.91,63,5,4.97
38,Kharp,RU,2022-06-06 17:37:47,66.8014,65.8081,49.89,49,37,5.17
39,Torbay,CA,2022-06-06 17:37:47,47.6666,-52.7314,61.57,54,75,9.22
40,Puerto Baquerizo Moreno,EC,2022-06-06 17:37:47,-0.9,-89.6,76.19,73,75,9.22
41,Taoudenni,ML,2022-06-06 17:37:48,22.6783,-3.9836,111.99,4,47,10.92
42,The Valley,AI,2022-06-06 17:37:49,18.217,-63.0578,86.14,70,20,16.11
43,Thompson,CA,2022-06-06 17:37:49,55.7435,-97.8558,60.96,25,20,10.36
44,Kholmogory,RU,2022-06-06 17:37:50,64.2229,41.656,46.92,78,97,8.86
45,Carnarvon,AU,2022-06-06 17:37:50,-24.8667,113.6333,70.43,51,0,4.9
46,Marsa Matruh,EG,2022-06-06 17:38:51,31.3525,27.2453,77.2,73,0,10.36
47,Maniitsoq,GL,2022-06-06 17:38:51,65.4167,-52.9,42.82,58,0,18.75
48,Fortuna,US,2022-06-06 17:38:52,40.5982,-124.1573,61.93,86,100,8.05
49,Georgetown,MY,2022-06-06 17:36:49,5.4112,100.3354,82.33,93,40,5.99
50,Grafton,US,2022-06-06 17:34:08,42.207,-71.6856,81.25,32,20,5.75
51,Ushuaia,AR,2022-06-06 17:36:39,-54.8,-68.3,38.82,80,20,2.3
52,Mezen,RU,2022-06-06 17:38:53,65.8522,44.24,50.81,95,98,4.72
53,Haines Junction,CA,2022-06-06 17:38:53,60.7522,-137.5108,57.15,58,82,2.3
54,Kapoeta,SS,2022-06-06 17:38:53,4.7717,33.5903,86.18,35,95,5.95
55,Arraial Do Cabo,BR,2022-06-06 17:38:54,-22.9661,-42.0278,78.76,47,0,14.97
56,Marawi,PH,2022-06-06 17:38:54,7.9986,124.2928,68.88,89,83,3.56
57,Shudayag,RU,2022-06-06 17:38:55,63.5266,53.6058,55.72,65,51,5.26
58,Butaritari,KI,2022-06-06 17:38:55,3.0707,172.7902,81.05,78,37,14.72
59,Flin Flon,CA,2022-06-06 17:38:56,54.7682,-101.865,64.24,42,75,5.75
60,Bluff,NZ,2022-06-06 17:38:56,-46.6,168.3333,48.47,75,86,12.12
61,Linjiang,CN,2022-06-06 17:38:57,41.8069,126.9078,54.03,87,100,2.06
62,Nyurba,RU,2022-06-06 17:38:57,63.2842,118.3319,50.59,96,36,2.89
63,Norman Wells,CA,2022-06-06 17:38:57,65.282,-126.8329,50.04,71,75,11.5
64,Barrow,US,2022-06-06 17:36:36,71.2906,-156.7887,24.82,86,100,14.97
65,Jamestown,US,2022-06-06 17:38:17,42.097,-79.2353,80.53,38,0,12.66
66,Morondava,MG,2022-06-06 17:38:58,-20.2833,44.2833,74.7,79,5,10.07
67,Egvekinot,RU,2022-06-06 17:38:59,66.3167,-179.1667,39.29,62,99,4.72
68,Santa Vitoria Do Palmar,BR,2022-06-06 17:38:59,-33.5189,-53.3681,59.29,74,100,8.08
69,Caravelas,BR,2022-06-06 17:38:59,-17.7125,-39.2481,76.1,54,62,5.3
70,Kupang,ID,2022-06-06 17:39:00,-10.1667,123.5833,77.45,86,35,8.19
71,Tuktoyaktuk,CA,2022-06-06 17:39:01,69.4541,-133.0374,28.4,80,75,11.5
72,Hobart,AU,2022-06-06 17:37:00,-42.8794,147.3294,41.25,82,40,8.05
73,Taman,RU,2022-06-06 17:39:01,45.2117,36.7161,70.41,66,62,21.52
74,Svetlyy,RU,2022-06-06 17:39:02,54.675,20.1347,69.85,78,100,7.05
75,Husavik,IS,2022-06-06 17:39:02,66.0449,-17.3389,46.0,61,24,10.56
76,Sola,VU,2022-06-06 17:39:03,-13.8833,167.55,80.28,78,87,19.51
77,Santa Rosa,PH,2022-06-06 17:39:03,14.3122,121.1114,84.18,79,13,2.89
78,Merauke,ID,2022-06-06 17:39:04,-8.4667,140.3333,77.97,86,33,6.96
79,Burnie,AU,2022-06-06 17:35:52,-41.0667,145.9167,44.02,82,98,12.44
80,Iqaluit,CA,2022-06-06 17:39:05,63.7506,-68.5145,49.73,57,75,18.41
81,Binidayan,PH,2022-06-06 17:39:06,7.8067,124.1685,68.16,89,80,1.88
82,Sinop,TR,2022-06-06 17:39:06,41.7711,34.8709,59.2,79,15,2.53
83,Cumana,VE,2022-06-06 17:39:07,10.4635,-64.1775,81.21,78,100,2.51
84,Praia Da Vitoria,PT,2022-06-06 17:39:08,38.7333,-27.0667,73.65,78,75,12.24
85,Esperance,AU,2022-06-06 17:39:08,-33.8667,121.9,55.62,61,100,4.68
86,Codrington,AU,2022-06-06 17:39:09,-38.2667,141.9667,48.34,82,100,18.19
87,Kodiak,US,2022-06-06 17:39:09,57.79,-152.4072,53.11,71,100,8.05
88,Bud,US,2022-06-06 17:39:10,39.447,-86.1758,84.18,61,99,15.35
89,Vikulovo,RU,2022-06-06 17:39:10,56.8167,70.6107,49.1,85,68,4.94
90,Souillac,MU,2022-06-06 17:40:12,-20.5167,57.5167,71.98,83,40,2.3
91,Udachnyy,RU,2022-06-06 17:40:13,66.4167,112.4,43.45,86,98,5.59
92,Kloulklubed,PW,2022-06-06 17:40:14,7.0419,134.2556,73.9,71,100,2.64
93,Ancud,CL,2022-06-06 17:40:15,-41.8697,-73.8203,50.36,98,100,4.29
94,Mecca,SA,2022-06-06 17:35:38,21.4267,39.8261,92.39,27,4,5.53
95,Lazaro Cardenas,MX,2022-06-06 17:40:15,17.9583,-102.2,84.72,59,20,9.78
96,Karakol,KG,2022-06-06 17:40:16,42.4907,78.3936,52.32,70,77,4.09
97,Sao Filipe,CV,2022-06-06 17:40:16,14.8961,-24.4956,76.77,73,1,12.93
98,Bethel,US,2022-06-06 17:40:17,41.3712,-73.414,82.18,38,0,6.91
99,Flinders,AU,2022-06-06 17:40:17,-34.5833,150.8552,52.38,65,10,14.0
100,Puerto Ayora,EC,2022-06-06 17:40:18,-0.7393,-90.3518,76.96,88,68,5.99
101,Punta Arenas,CL,2022-06-06 17:40:18,-53.15,-70.9167,37.42,93,75,16.11
102,Sao Felix Do Xingu,BR,2022-06-06 17:40:19,-6.6447,-51.995,86.09,55,58,3.71
103,Toamasina,MG,2022-06-06 17:40:19,-18.1667,49.3833,71.6,88,75,4.61
104,Price,US,2022-06-06 17:40:20,39.5994,-110.8107,78.12,25,0,0.0
105,Bredasdorp,ZA,2022-06-06 17:40:20,-34.5322,20.0403,60.42,41,1,3.65
106,Port Elizabeth,ZA,2022-06-06 17:35:21,-33.918,25.5701,66.31,56,4,5.75
107,Luderitz,NA,2022-06-06 17:40:21,-26.6481,15.1594,68.09,37,2,7.18
108,Kaitangata,NZ,2022-06-06 17:40:21,-46.2817,169.8464,48.6,74,60,4.94
109,Saint-Joseph,RE,2022-06-06 17:40:22,-21.3667,55.6167,71.98,79,34,10.27
110,North Platte,US,2022-06-06 17:40:22,41.1239,-100.7654,77.11,59,20,4.61
111,Roald,NO,2022-06-06 17:40:23,62.5833,6.1333,61.16,76,0,8.05
112,Acapulco,MX,2022-06-06 17:36:59,16.8634,-99.8901,85.82,66,75,5.75
113,Yerbogachen,RU,2022-06-06 17:40:23,61.2767,108.0108,47.57,72,47,5.08
114,Mananjary,MG,2022-06-06 17:40:24,-21.2167,48.3333,69.31,85,43,5.88
115,Buin,CL,2022-06-06 17:36:25,-33.7333,-70.75,64.74,27,8,2.71
116,Port Alfred,ZA,2022-06-06 17:40:24,-33.5906,26.891,67.57,42,2,5.46
117,East London,ZA,2022-06-06 17:38:55,-33.0153,27.9116,67.14,68,0,6.91
118,Vila Velha,BR,2022-06-06 17:40:25,-20.3297,-40.2925,76.95,67,40,8.05
119,Sainte-Marie,RE,2022-06-06 17:40:26,-20.8968,55.5496,73.56,79,40,16.11
120,Grand Gaube,MU,2022-06-06 17:40:26,-20.0064,57.6608,72.0,75,5,4.0
121,Mishelevka,RU,2022-06-06 17:36:35,52.8575,103.1719,45.09,92,100,18.86
122,Qaanaaq,GL,2022-06-06 17:40:27,77.484,-69.3632,33.33,67,60,4.45
123,Kenai,US,2022-06-06 17:40:27,60.5544,-151.2583,52.14,88,100,13.8
124,Vaini,TO,2022-06-06 17:40:28,-21.2,-175.2,73.56,73,40,9.22
125,Waddan,LY,2022-06-06 17:40:28,29.1614,16.139,91.74,18,0,18.72
126,Lebu,CL,2022-06-06 17:40:28,-37.6167,-73.65,53.83,82,100,14.85
127,Lar,IN,2022-06-06 17:40:29,26.2039,83.9717,95.16,34,50,12.95
128,Narsaq,GL,2022-06-06 17:40:29,60.9167,-46.05,59.22,85,100,5.37
129,Khilok,RU,2022-06-06 17:40:30,51.3674,110.4676,47.32,80,80,4.27
130,Araouane,ML,2022-06-06 17:40:30,18.9048,-3.5265,105.82,7,0,9.71
131,Port Blair,IN,2022-06-06 17:40:31,11.6667,92.75,82.0,78,100,18.97
132,Pella,RU,2022-06-06 17:40:31,59.7775,30.8181,59.05,64,7,4.18
133,Seymour,US,2022-06-06 17:40:32,38.9592,-85.8903,83.75,60,88,8.99
134,New Norfolk,AU,2022-06-06 17:40:32,-42.7826,147.0587,41.92,83,31,1.99
135,Aguimes,ES,2022-06-06 17:40:33,27.9054,-15.4461,72.66,53,20,27.63
136,Atambua,ID,2022-06-06 17:40:33,-9.1061,124.8925,72.03,90,78,4.14
137,Itarema,BR,2022-06-06 17:41:34,-2.9248,-39.9167,83.28,71,70,9.44
138,Ayabaca,PE,2022-06-06 17:41:34,-4.6398,-79.7149,62.92,59,90,6.02
139,Avarua,CK,2022-06-06 17:41:35,-21.2078,-159.775,77.05,78,57,12.66
140,Emerald,AU,2022-06-06 17:41:35,-23.5333,148.1667,55.35,93,35,7.67
141,Dongsheng,CN,2022-06-06 17:41:36,39.8161,109.9776,65.26,25,5,11.61
142,Tokur,RU,2022-06-06 17:41:36,53.1333,132.9,45.91,64,8,2.66
143,Kapaa,US,2022-06-06 17:41:37,22.0752,-159.319,74.12,90,100,5.75
144,Leningradskiy,RU,2022-06-06 17:41:37,69.3833,178.4167,32.94,86,100,8.72
145,Dunedin,NZ,2022-06-06 17:41:38,-45.8742,170.5036,49.8,70,70,8.99
146,Chupa,RU,2022-06-06 17:41:39,66.27,33.0549,47.03,71,98,4.43
147,Bambous Virieux,MU,2022-06-06 17:41:39,-20.3428,57.7575,71.85,83,40,2.3
148,Aklavik,CA,2022-06-06 17:41:40,68.2191,-135.0107,43.21,55,17,7.27
149,Anzio,IT,2022-06-06 17:40:11,41.4853,12.6179,86.99,49,100,14.54
150,Tasiilaq,GL,2022-06-06 17:41:40,65.6145,-37.6368,41.16,66,99,4.21
151,Camacha,PT,2022-06-06 17:41:41,33.0833,-16.3333,67.42,73,75,12.66
152,Koungheul,SN,2022-06-06 17:41:41,13.9833,-14.8,103.5,24,27,9.6
153,Washougal,US,2022-06-06 17:40:08,45.5826,-122.3534,65.43,75,75,5.01
154,Port Lincoln,AU,2022-06-06 17:41:42,-34.7333,135.8667,55.11,76,26,18.14
155,San Quintin,MX,2022-06-06 17:41:42,30.4833,-115.95,69.33,72,54,17.56
156,Isangel,VU,2022-06-06 17:41:43,-19.55,169.2667,73.38,79,23,6.4
157,Kruisfontein,ZA,2022-06-06 17:41:44,-34.0033,24.7314,57.88,57,13,1.45
158,Fredericton,CA,2022-06-06 17:39:51,45.9454,-66.6656,62.37,70,75,3.44
159,Alta Floresta,BR,2022-06-06 17:41:44,-9.8756,-56.0861,93.02,46,40,5.75
160,Rio Gallegos,AR,2022-06-06 17:41:45,-51.6226,-69.2181,44.65,39,0,20.71
161,Asprovalta,GR,2022-06-06 17:41:45,40.7167,23.7,67.96,87,55,3.0
162,Victoria,HK,2022-06-06 17:39:14,22.2855,114.1577,84.38,88,100,8.99
163,Tselinnoye,RU,2022-06-06 17:41:46,53.0833,85.6667,41.07,80,20,6.17
164,Margate,GB,2022-06-06 17:41:46,51.3813,1.3862,60.31,83,100,1.01
165,Boa Vista,BR,2022-06-06 17:41:08,2.8197,-60.6733,82.38,74,40,5.75
166,Saint-Augustin,CA,2022-06-06 17:41:47,51.226,-58.6502,55.67,41,59,5.7
167,Cabo San Lucas,MX,2022-06-06 17:41:47,22.8909,-109.9124,90.61,61,1,5.99
168,Otradnoye,RU,2022-06-06 17:40:31,59.7775,30.8181,59.05,64,7,4.18
169,Cockburn Town,TC,2022-06-06 17:41:33,21.4612,-71.1419,80.74,84,60,15.61
170,Namatanai,PG,2022-06-06 17:41:48,-3.6667,152.4333,78.13,83,79,7.0
171,Port-Cartier,CA,2022-06-06 17:41:49,50.0334,-66.8654,62.28,56,61,11.68
172,Batagay-Alyta,RU,2022-06-06 17:41:49,67.8006,130.4114,55.92,53,96,4.45
173,Mahebourg,MU,2022-06-06 17:41:50,-20.4081,57.7,71.89,83,40,2.3
174,Nizwa,OM,2022-06-06 17:41:50,22.9333,57.5333,88.11,31,1,9.13
175,Alofi,NU,2022-06-06 17:41:50,-19.0595,-169.9187,71.49,94,100,5.75
176,Lujan,AR,2022-06-06 17:40:04,-34.5703,-59.105,62.02,67,0,1.99
177,Srednekolymsk,RU,2022-06-06 17:41:51,67.45,153.6833,36.81,68,7,13.51
178,George,ZA,2022-06-06 17:41:52,-33.963,22.4617,62.15,51,0,4.61
179,Lasa,IT,2022-06-06 17:42:52,46.6166,10.7002,74.28,81,76,1.57
180,Nago,JP,2022-06-06 17:42:52,26.5881,127.9761,74.25,94,100,3.76
181,Chokurdakh,RU,2022-06-06 17:42:53,70.6333,147.9167,36.23,70,15,12.35
182,Sioux Lookout,CA,2022-06-06 17:42:54,50.1001,-91.917,62.67,55,75,6.91
183,Broome,US,2022-06-06 17:42:54,42.2506,-75.833,80.53,44,0,11.99
184,Oparino,RU,2022-06-06 17:42:55,59.8518,48.2783,52.16,91,67,3.36
185,Saint-Philippe,RE,2022-06-06 17:42:55,-21.3585,55.7679,72.99,78,36,8.14
186,Yenagoa,NG,2022-06-06 17:42:56,4.9247,6.2642,76.98,85,78,4.52
187,Ribeira Grande,PT,2022-06-06 17:42:56,38.5167,-28.7,68.4,88,75,13.8
188,Harindanga,IN,2022-06-06 17:42:57,22.0383,88.3214,84.97,80,96,14.92
189,Sitka,US,2022-06-06 17:42:57,57.0531,-135.33,53.49,82,100,4.61
190,Emporia,US,2022-06-06 17:41:26,38.4039,-96.1817,80.8,61,40,3.65
191,Jiwani,PK,2022-06-06 17:42:58,25.05,61.7417,83.07,83,0,15.88
192,Vilhena,BR,2022-06-06 17:39:16,-12.7406,-60.1458,86.22,51,75,4.61
